Date,Concatenate,Day,Month,Year,Band,Headline,Support,Venue,Notes
18 April 1994,On this day in 1994 Mike saw Wonderstuff supported by Gigolo Aunts at Cambridge Corn Exchange,18,4,1994,Wonderstuff,The Wonderstuff,Gigolo Aunts,Cambridge Corn Exchange,
19 April 1992,"On this day in 1992 Mike saw Idiots supported by Revolver, Glam Tarts at Dublin Rock Garden",19,4,1992,Idiots,Revolver,"Revolver, Glam Tarts",Dublin Rock Garden,
19 April 1994,On this day in 1994 Mike saw Wonderstuff supported by Gigolo Aunts at Cambridge Corn Exchange,19,4,1994,Wonderstuff,The Wonderstuff,Gigolo Aunts,Cambridge Corn Exchange,
19 April 2005,On this day in 2005 Mike saw House of Love at Nottingham Rescue Rooms,19,4,2005,House of Love,House of Love,,Nottingham Rescue Rooms,
19 April 2006,On this day in 2006 Mike saw Sunshine Underground supported by Yes Boss at Leicester Jam Jar,19,4,2006,Sunshine Underground,The Sunshine Underground,Yes Boss,Leicester Jam Jar,
19 April 2010,On this day in 2010 Mike saw Primitives supported by Lucky Soul at Nottingham Bodega,19,4,2010,Primitives,The Primitives,Lucky Soul,Nottingham Bodega,
20 April 2006,"On this day in 2006 Mike saw Th' Faith Healers supported by Early Years, Tinnitus at London 93 Feet East",20,4,2006,Th' Faith Healers,Th' Faith Healers,"Early Years, Tinnitus",London 93 Feet East,
20 April 2018,On this day in 2018 Mike saw Salad supported by S*M*A*S*H at Leicester The Soundhouse,20,4,2018,Salad,Salad,S*M*A*S*H,Leicester The Soundhouse,
21 April 1994,On this day in 1994 Mike saw Cud supported by My Life Story at Cambridge - The Junction,21,4,1994,Cud,Cud,My Life Story,Cambridge - The Junction,
21 April 2007,On this day in 2007 Mike saw Happy Mondays at Nottingham Rescue Rooms,21,4,2007,Happy Mondays,Happy Mondays,,Nottingham Rescue Rooms,
21 April 2012,On this day in 2012 Mike saw Chameleons  at Islington O2 Academy,21,4,2012,Chameleons ,The Chameleons ,,Islington O2 Academy,
22 April 1985,On this day in 1985 Mike saw Alarm supported by Faith Brothers at Cardiff St Davids Hall,22,4,1985,Alarm,The Alarm,Faith Brothers,Cardiff St Davids Hall,
22 April 1991,On this day in 1991 Mike saw House of Love at London Marquee Club,22,4,1991,House of Love,House of Love,,London Marquee Club,
22 April 2014,"On this day in 2014 Mike saw Blood Red Shoes supported by DZ Deathrays, Slaves at Nottingham Bodega",22,4,2014,Blood Red Shoes,Blood Red Shoes,"DZ Deathrays, Slaves",Nottingham Bodega,
23 April 1989,On this day in 1989 Mike saw Pixies supported by Wolfgang Press at Cambridge Corn Exchange,23,4,1989,Pixies,The Pixies,Wolfgang Press,Cambridge Corn Exchange,
24 April 1991,On this day in 1991 Mike saw Kitchens of Distinction supported by Kit at Cambridge - The Junction,24,4,1991,Kitchens of Distinction,Kitchens of Distiction,Kit,Cambridge - The Junction,
24 April 2007,On this day in 2007 Mike saw Maccabees supported by Jack Penate at Nottingham Rescue Rooms,24,4,2007,Maccabees,The Maccabees,Jack Penate,Nottingham Rescue Rooms,
25 April 1990,"On this day in 1990 Mike saw Julian Cope supported by Wedding Present, Cud, Popguns, Five Thirty at Brixton The Fridge",25,4,1990,Julian Cope,The Wedding Present,"Wedding Present, Cud, Popguns, Five Thirty",Brixton The Fridge,Alvin Lives in Leeds Anti Poll Tax Gig
25 April 2007,On this day in 2007 Mike saw Milburn at Leicester - The Charlotte,25,4,2007,Milburn,Milburn,,Leicester - The Charlotte,
26 April 1997,On this day in 1997 Mike saw Salad supported by Formula 1 at Leicester - The Charlotte,26,4,1997,Salad,Salad,Formula 1,Leicester - The Charlotte,
26 April 2006,On this day in 2006 Mike saw Arctic Monkeys at Cambridge Corn Exchange,26,4,2006,Arctic Monkeys,Arctic Monkeys,,Cambridge Corn Exchange,
26 April 2007,On this day in 2007 Mike saw Mumm-ra at Nottingham Rescue Rooms,26,4,2007,Mumm-ra,Mumm-ra,,Nottingham Rescue Rooms,
26 April 2017,On this day in 2017 Mike saw Ed Sheeran at Nottingham Arena,26,4,2017,Ed Sheeran,Ed Sheeran,,Nottingham Arena,
27 April 1993,On this day in 1993 Mike saw New Model Army supported by Cropdusters at Cambridge Corn Exchange,27,4,1993,New Model Army,New Model Army,Cropdusters,Cambridge Corn Exchange,
28 April 1990,"On this day in 1990 Mike saw New Fast Automatic Daffodils supported by Bob, Blur at Cambridge - The Junction",28,4,1990,New Fast Automatic Daffodils,New Fast Automatic Daffodils,"Bob, Blur",Cambridge - The Junction,
28 April 2009,On this day in 2009 Mike saw Art Brut supported by Robocop Kraus at Birmingham O2 Academy 2,28,4,2009,Art Brut,Art Brut,Robocop Kraus,Birmingham O2 Academy 2,
28 April 2011,On this day in 2011 Mike saw Half Man Half Biscuit supported by Echolocation at Leicester Auditorium,28,4,2011,Half Man Half Biscuit,Half Man Half Biscuit,Echolocation,Leicester Auditorium,
29 April 1994,On this day in 1994 Mike saw Pagan Billy at Girton - The Old Crown,29,4,1994,Pagan Billy,Pagan Billy,,Girton - The Old Crown,
29 April 1995,On this day in 1995 Mike saw Pond supported by Hair & Skin Trading Co. at Islington - The Garage,29,4,1995,Pond,Pond,Hair & Skin Trading Co.,Islington - The Garage,
1 May 1996,On this day in 1996 Mike saw Scarfo supported by Altra at Cambridge Boat Race,1,5,1996,Scarfo,Scarfo,Altra,Cambridge Boat Race,
1 May 2003,"On this day in 2003 Mike saw Death in Vegas at De Montfort Arena, Leicester",1,5,2003,Death in Vegas,Death in Vegas,,"De Montfort Arena, Leicester",
1 May 2008,"On this day in 2008 Mike saw Cud supported by Chimpanzees, Echolocation, Fall of Jupiter at Leicester - The Charlotte",1,5,2008,Cud,Cud,"Chimpanzees, Echolocation, Fall of Jupiter",Leicester - The Charlotte,
3 May 1990,On this day in 1990 Mike saw Soup Dragons supported by Split Level at Cambridge - The Junction,3,5,1990,Soup Dragons,Soup Dragons,Split Level,Cambridge - The Junction,
4 May 1990,"On this day in 1990 Mike saw My Bloody Valentine supported by Something Pretty Beautiful, Swervedriver at University of London (ULU)",4,5,1990,My Bloody Valentine,My Bloody Valentine,"Something Pretty Beautiful, Swervedriver",University of London (ULU),
4 May 2008,"On this day in 2008 Mike saw Twisted Wheel supported by Sport, Ego Armalade at Leicester - The Charlotte",4,5,2008,Twisted Wheel,Twisted Wheel,"Sport, Ego Armalade",Leicester - The Charlotte,
4 May 2010,On this day in 2010 Mike saw Fall supported by Girl Peculiar at Nottingham Rock City,4,5,2010,Fall,The Fall,Girl Peculiar,Nottingham Rock City,
6 May 1992,"On this day in 1992 Mike saw Fugazi supported by Greed, Smile at Cambridge - The Junction",6,5,1992,Fugazi,Fugazi,"Greed, Smile",Cambridge - The Junction,
6 May 1995,On this day in 1995 Mike saw Shed Seven supported by Cast at London Astoria,6,5,1995,Shed Seven,Shed Seven,Cast,London Astoria,
7 May 1992,"On this day in 1992 Mike saw House of Love supported by A House, Ocean Colour Scene at London Town & Country Club",7,5,1992,House of Love,House of Love,"A House, Ocean Colour Scene",London Town & Country Club,
7 May 1996,On this day in 1996 Mike saw Smashing Pumpkins supported by Filler at Birmingham NEC,7,5,1996,Smashing Pumpkins,Smashing Pumpkins,Filler,Birmingham NEC,
7 May 2013,"On this day in 2013 Mike saw Carl Barat supported by Eyes on Film at Corby, The Zombie Hut",7,5,2013,Carl Barat,Carl Barat,Eyes on Film,"Corby, The Zombie Hut",
8 May 1990,On this day in 1990 Mike saw Inspiral Carpets supported by Baby Ford at Cambridge Corn Exchange,8,5,1990,Inspiral Carpets,Inspiral Carpets,Baby Ford,Cambridge Corn Exchange,
8 May 1997,On this day in 1997 Mike saw Goldblade supported by Breather at Leicester - The Charlotte,8,5,1997,Goldblade,Goldblade,Breather,Leicester - The Charlotte,
8 May 2008,On this day in 2008 Mike saw Wombats supported by I Was a Cub Scout at Nottingham Rock City,8,5,2008,Wombats,The Wombats,I Was a Cub Scout,Nottingham Rock City,
9 May 1992,"On this day in 1992 Mike saw Fugazi supported by Jesus Lizard, Shudder to Think, Leatherface at Brixton Academy",9,5,1992,Fugazi,Fugazi,"Jesus Lizard, Shudder to Think, Leatherface",Brixton Academy,
10 May 1992,On this day in 1992 Mike saw Levellers at Cambridge Corn Exchange,10,5,1992,Levellers,The Levellers,,Cambridge Corn Exchange,
10 May 1993,On this day in 1993 Mike saw Fall at Cambridge - The Junction,10,5,1993,Fall,The Fall,,Cambridge - The Junction,
12 May 1994,On this day in 1994 Mike saw Levellers at Derby Assembly Rooms,12,5,1994,Levellers,The Levellers,,Derby Assembly Rooms,
13 May 1994,On this day in 1994 Mike saw Blur supported by Sleeper at Leicester De Montfort University,13,5,1994,Blur,Blur,Sleeper,Leicester De Montfort University,
14 May 1993,On this day in 1993 Mike saw PJ Harvey supported by Gallon Drunk at Norwich University (UEA),14,5,1993,PJ Harvey,PJ Harvey,Gallon Drunk,Norwich University (UEA),
14 May 2015,On this day in 2015 Mike saw Slaves at Nottingham Rescue Rooms,14,5,2015,Slaves,Slaves,,Nottingham Rescue Rooms,
15 May 2006,On this day in 2006 Mike saw Rakes supported by Young Knives at Nottingham Rock City,15,5,2006,Rakes,The Rakes,Young Knives,Nottingham Rock City,
16 May 1991,On this day in 1991 Mike saw New Fast Automatic Daffodils supported by Slow Bongo Floyd at Cambridge - The Junction,16,5,1991,New Fast Automatic Daffodils,New Fast Automatic Daffodils,Slow Bongo Floyd,Cambridge - The Junction,
16 May 1992,On this day in 1992 Mike saw Carter the Unstoppable Sex Machine at Plymouth Pavillions,16,5,1992,Carter the Unstoppable Sex Machine,Carter the Unstoppable Sex Machine,,Plymouth Pavillions,
17 May 1990,"On this day in 1990 Mike saw Jesus Jones supported by Ned's Atomic Dustbin, Blur at London Kilburn National",17,5,1990,Jesus Jones,Jesus Jones,"Ned's Atomic Dustbin, Blur",London Kilburn National,
17 May 2009,On this day in 2009 Mike saw Pains of Being Pure at Heart supported by Manhattan Love Suicides at Leicester - The Musician,17,5,2009,Pains of Being Pure at Heart,The Pains of Being Pure at Heart,Manhattan Love Suicides,Leicester - The Musician,
18 May 1990,On this day in 1990 Mike saw Cud at Warrington Legends,18,5,1990,Cud,Cud,,Warrington Legends,
18 May 1991,On this day in 1991 Mike saw Wedding Present supported by Buffalo Tom at Glasgow Barrowlands,18,5,1991,Wedding Present,The Wedding Present,Buffalo Tom,Glasgow Barrowlands,
19 May 1994,"On this day in 1994 Mike saw Chumbawamba supported by Gunshot, Attilla the Stockbroker at Cambridge - The Junction",19,5,1994,Chumbawamba,Chumbawamba,"Gunshot, Attilla the Stockbroker",Cambridge - The Junction,
19 May 2011,On this day in 2011 Mike saw Victorian English Gentlemens Club supported by Produkty at Leicester Sumo,19,5,2011,Victorian English Gentlemens Club,The Victorian English Gentlemens Club,Produkty,Leicester Sumo,
20 May 1996,"On this day in 1996 Mike saw Sleeper supported by Longpigs, Tiger at Cambridge Corn Exchange",20,5,1996,Sleeper,Sleeper,"Longpigs, Tiger",Cambridge Corn Exchange,
20 May 1997,"On this day in 1997 Mike saw Symposium supported by You Am I, A at Leicester - The Charlotte",20,5,1997,Symposium,Symposium,"You Am I, A",Leicester - The Charlotte,
21 May 1994,On this day in 1994 Mike saw Pagan Billy at Cambridge Boat Race,21,5,1994,Pagan Billy,Pagan Billy,,Cambridge Boat Race,
22 May 1992,On this day in 1992 Mike saw Family Cat supported by Bill Pritchard at Leicester - The Charlotte,22,5,1992,Family Cat,The Family Cat,Bill Pritchard,Leicester - The Charlotte,
22 May 2015,"On this day in 2015 Mike saw Membranes supported by Wolfhounds, Faerground Accidents, YouLiving at Islington The Lexington",22,5,2015,Membranes,Membranes,"Wolfhounds, Faerground Accidents, YouLiving",Islington The Lexington,
23 May 1996,"On this day in 1996 Mike saw Ash supported by 60 Foot Dolls, Bis at Cambridge Corn Exchange",23,5,1996,Ash,Ash,"60 Foot Dolls, Bis",Cambridge Corn Exchange,
23 May 2015,On this day in 2015 Mike saw Ride supported by Tuff Love at Manchester Albert Hall,23,5,2015,Ride,Ride,Tuff Love,Manchester Albert Hall,
25 May 1990,"On this day in 1990 Mike saw Lush supported by Swervedriver, Moose at University of London (ULU)",25,5,1990,Lush,Lush,"Swervedriver, Moose",University of London (ULU),
26 May 1994,On this day in 1994 Mike saw Nine Inch Nails supported by Pig at London Town & Country Club,26,5,1994,Nine Inch Nails,Nine Inch Nails,Pig,London Town & Country Club,
27 May 1992,On this day in 1992 Mike saw Family Cat supported by Bill Pritchard at Digbeth - The Barrel Organ,27,5,1992,Family Cat,The Family Cat,Bill Pritchard,Digbeth - The Barrel Organ,
27 May 1995,"On this day in 1995 Mike saw Charlatans, Lightning Seeds, Pop Will Eat Itself, Teenage Fanclub,  Skunk Anansie, Gene, Dodgy, Reef, at Essential Festival Indie Alldayer, Brighton Stanmer Park",27,5,1995,Essential Festival Indie Alldayer,The Charlatans,"Charlatans, Lightning Seeds, Pop Will Eat Itself, Teenage Fanclub,  Skunk Anansie, Gene, Dodgy, Reef",Brighton Stanmer Park,
27 May 2010,On this day in 2010 Mike saw Adrian Edmondson & the Bad Shepherds at Northampton Picturehouse,27,5,2010,Adrian Edmondson & the Bad Shepherds,Adrian Edmondson & the Bad Shepherds,,Northampton Picturehouse,
27 May 2012,On this day in 2012 Mike saw Peter Hook & the Light at Nottingham Rescue Rooms,27,5,2012,Peter Hook & the Light,Peter Hook & the Light,,Nottingham Rescue Rooms,
28 May 1992,On this day in 1992 Mike saw Family Cat supported by Bill Pritchard at Highbury The Dome,28,5,1992,Family Cat,The Family Cat,Bill Pritchard,Highbury The Dome,
29 May 1992,"On this day in 1992 Mike saw PJ Harvey supported by Th' Faith Healers, Moonshake at London Town & Country Club",29,5,1992,PJ Harvey,PJ Harvey,"Th' Faith Healers, Moonshake",London Town & Country Club,
30 May 2011,"On this day in 2011 Mike saw Kings of Leon supported by White Lies, Mona, The Whigs at Coventry Ricoh Arena",30,5,2011,Kings of Leon,Kings of Leon,"White Lies, Mona, The Whigs",Coventry Ricoh Arena,
31 May 1992,On this day in 1992 Mike saw Silverfish at Harlow - The Square,31,5,1992,Silverfish,Silverfish,,Harlow - The Square,
1 June 1990,"On this day in 1990 Mike saw Cud supported by Swervedriver, The Batchelor Pads at New Cross - The Venue",1,6,1990,Cud,Cud,"Swervedriver, The Batchelor Pads",New Cross - The Venue,
1 June 1991,"On this day in 1991 Mike saw Levellers supported by Ozric Tentacles, RDF at Cambridge Strawberry Fayre",1,6,1991,Levellers,The Levellers,"Ozric Tentacles, RDF",Cambridge Strawberry Fayre,
1 June 1993,On this day in 1993 Mike saw Senser supported by Papa Brittle at Cambridge Boat Race,1,6,1993,Senser,Senser,Papa Brittle,Cambridge Boat Race,
1 June 2010,On this day in 2010 Mike saw Damned at Nottingham Rescue Rooms,1,6,2010,Damned,The Damned,,Nottingham Rescue Rooms,
2 June 1990,"On this day in 1990 Mike saw Cardiacs supported by Colour Factory, Culture Shock, Keith's Dad at Cambridge Strawberry Fayre",2,6,1990,Cardiacs,The Cardiacs,"Colour Factory, Culture Shock, Keith's Dad",Cambridge Strawberry Fayre,
2 June 1991,On this day in 1991 Mike saw Wedding Present supported by Buffalo Tom at Cambridge Corn Exchange,2,6,1991,Wedding Present,The Wedding Present,Buffalo Tom,Cambridge Corn Exchange,
2 June 2009,"On this day in 2009 Mike saw Horrors supported by S.C.U.M., Factory Floor at Birmingham O2 Academy 2",2,6,2009,Horrors,The Horrors,"S.C.U.M., Factory Floor",Birmingham O2 Academy 2,
3 June 1994,On this day in 1994 Mike saw Family Cat at London LA2 - Charing Cross,3,6,1994,Family Cat,The Family Cat,,London LA2 - Charing Cross,
3 June 2008,On this day in 2008 Mike saw Futureheads at Nottingham Rescue Rooms,3,6,2008,Futureheads,The Futureheads,,Nottingham Rescue Rooms,
3 June 2010,On this day in 2010 Mike saw Pixies at London - The Troxy,3,6,2010,Pixies,The Pixies,,London - The Troxy,
4 June 1994,"On this day in 1994 Mike saw Dodgy, Kingmaker, Pagan Billy, at Strawberry Fair Festival, Cambridge Midsummer Common",4,6,1994,Strawberry Fair Festival,Dodgy,"Dodgy, Kingmaker, Pagan Billy",Cambridge Midsummer Common,
5 June 1992,On this day in 1992 Mike saw Pop Will Eat Itself supported by Scorpio Rising at London Marquee Club,5,6,1992,Pop Will Eat Itself,Pop Will Eat Itself,Scorpio Rising,London Marquee Club,
5 June 1993,"On this day in 1993 Mike saw Bhundu Boys, Cubanate, Pagan BIlly, RDF, Rev Hammer, Dr Phibes & House of Wax Equations, at Strawberry Fair Festival, Cambridge Midsummer Common",5,6,1993,Strawberry Fair Festival,RDF,"Bhundu Boys, Cubanate, Pagan BIlly, RDF, Rev Hammer, Dr Phibes & House of Wax Equations",Cambridge Midsummer Common,
5 June 2003,On this day in 2003 Mike saw Mark Gardener at Leicester - The Charlotte,5,6,2003,Mark Gardener,Mark Gardener,,Leicester - The Charlotte,
6 June 2007,On this day in 2007 Mike saw Only Ones at Nottingham Rescue Rooms,6,6,2007,Only Ones,The Only Ones,,Nottingham Rescue Rooms,
6 June 2011,"On this day in 2011 Mike saw Pains of Being Pure at Heart supported by Fanzine, Cassette Culture at Leicester Sumo",6,6,2011,Pains of Being Pure at Heart,The Pains of Being Pure at Heart,"Fanzine, Cassette Culture",Leicester Sumo,
6 June 2017,On this day in 2017 Mike saw Wedding Present at Leicester Firebug,6,6,2017,Wedding Present,The Wedding Present,,Leicester Firebug,
8 June 1990,On this day in 1990 Mike saw Power of Dreams supported by Joyce McKinney Experience at New Cross - The Venue,8,6,1990,Power of Dreams,Power of Dreams,Joyce McKinney Experience,New Cross - The Venue,
8 June 1991,"On this day in 1991 Mike saw Pixies supported by Ride, Cud, Milltown Brothers, Boo Radleys at Crystal Palace Bowl",8,6,1991,Pixies,The Pixies,"Ride, Cud, Milltown Brothers, Boo Radleys",Crystal Palace Bowl,
8 June 1993,On this day in 1993 Mike saw Utah Saints at Cambridge - The Junction,8,6,1993,Utah Saints,Utah Saints,,Cambridge - The Junction,
8 June 2018,On this day in 2018 Mike saw From the Jam at Loughborough Town Hall,8,6,2018,From the Jam,From the Jam,,Loughborough Town Hall,
9 June 1998,On this day in 1998 Mike saw Goldblade at Nottingham Rock City Basement,9,6,1998,Goldblade,Goldblade,,Nottingham Rock City Basement,
10 June 1989,"On this day in 1989 Mike saw House of Love supported by Lilac Time, Momus, Pete Perrett at London ICA",10,6,1989,House of Love,House of Love,"Lilac Time, Momus, Pete Perrett",London ICA,
10 June 1993,On this day in 1993 Mike saw Stiff Little Fingers supported by New Cranes at Cambridge - The Junction,10,6,1993,Stiff Little Fingers,Stiff Little Fingers,New Cranes,Cambridge - The Junction,
10 June 2008,On this day in 2008 Mike saw Glasvegas at Leicester - The Charlotte,10,6,2008,Glasvegas,Glasvegas,,Leicester - The Charlotte,
10 June 2009,On this day in 2009 Mike saw Dinosaur Jr at Derby Rockhouse,10,6,2009,Dinosaur Jr,Dinosaur Jr,,Derby Rockhouse,
10 June 2013,On this day in 2013 Mike saw Public Image Ltd supported by Wonderstuff at Leicester University,10,6,2013,Public Image Ltd,Public Image Ltd,Wonderstuff,Leicester University,
10 June 2017,"On this day in 2017 Mike saw Wedding Present supported by Brix and the Extricated, Young Romance at Camden Roundhouse",10,6,2017,Wedding Present,The Wedding Present,"Brix and the Extricated, Young Romance",Camden Roundhouse,
11 June 1993,On this day in 1993 Mike saw Family Cat at Plymouth Hoe - At Sea,11,6,1993,Family Cat,The Family Cat,,Plymouth Hoe - At Sea,
12 June 1991,"On this day in 1991 Mike saw Family Cat supported by Gallon Drunk, The Seers at Islington The Powerhaus",12,6,1991,Family Cat,The Family Cat,"Gallon Drunk, The Seers",Islington The Powerhaus,
12 June 1993,On this day in 1993 Mike saw Family Cat at Taunton Soundcheck,12,6,1993,Family Cat,The Family Cat,,Taunton Soundcheck,
13 June 1987,"On this day in 1987 Mike saw U2 supported by Pogues, Lou Reed, Lone Justice at Wembley Stadium",13,6,1987,U2,U2,"Pogues, Lou Reed, Lone Justice",Wembley Stadium,
13 June 1993,"On this day in 1993 Mike saw Cure, Carter the Unstoppable Sex Machine, Blur, Sugar, Catherine Wheel, Belly, Senseless Things, Family Cat. Frank & Walters, Guy Chadwick, Kingmaker, at Great X-Pectations Festival, London Finsbury Park",13,6,1993,Great X-Pectations Festival,The Cure,"Cure, Carter the Unstoppable Sex Machine, Blur, Sugar, Catherine Wheel, Belly, Senseless Things, Family Cat. Frank & Walters, Guy Chadwick, Kingmaker",London Finsbury Park,
14 June 2005,"On this day in 2005 Mike saw U2 supported by Snow Patrol, The Bravery at City of Manchester Stadium",14,6,2005,U2,U2,"Snow Patrol, The Bravery",City of Manchester Stadium,
15 June 1996,"On this day in 1996 Mike saw Urusei Yatsura supported by Backwater, Des Man Diablo at Bedford Esquires",15,6,1996,Urusei Yatsura,Urusei Yatsura,"Backwater, Des Man Diablo",Bedford Esquires,
15 June 1999,On this day in 1999 Mike saw Miles Hunt at Leicester - The Charlotte,15,6,1999,Miles Hunt,Miles Hunt,,Leicester - The Charlotte,
16 June 1996,On this day in 1996 Mike saw Cardiacs at Cambridge Boat Race,16,6,1996,Cardiacs,The Cardiacs,,Cambridge Boat Race,
16 June 2012,On this day in 2012 Mike saw Cud at Islington - The Garage,16,6,2012,Cud,Cud,,Islington - The Garage,
17 June 2013,On this day in 2013 Mike saw Rihanna at Birmingham NEC,17,6,2013,Rihanna,Rihanna,,Birmingham NEC,
19 June 2015,"On this day in 2015 Mike saw Prolapse supported by Grey Hairs, Hot Shorts at Nottingham - The Maze",19,6,2015,Prolapse,Prolapse,"Grey Hairs, Hot Shorts",Nottingham - The Maze,
20 June 1990,On this day in 1990 Mike saw Jesus Jones supported by Pleasureheads at Cambridge - The Junction,20,6,1990,Jesus Jones,Jesus Jones,Pleasureheads,Cambridge - The Junction,
20 June 2008,On this day in 2008 Mike saw My Bloody Valentine at Camden Roundhouse,20,6,2008,My Bloody Valentine,My Bloody Valentine,,Camden Roundhouse,
21 June 1992,"On this day in 1992 Mike saw Nirvana supported by Teenage Fan Club, The Breeders at Dublin - The Point",21,6,1992,Nirvana,Nirvana,"Teenage Fan Club, The Breeders",Dublin - The Point,
22 June 1989,On this day in 1989 Mike saw REM supported by Throwing Muses at Wembley Arena,22,6,1989,REM,REM,Throwing Muses,Wembley Arena,
23 June 1989,On this day in 1989 Mike saw Throwing Muses supported by Band of Susans at Cambridge Corn Exchange,23,6,1989,Throwing Muses,Throwing Muses,Band of Susans,Cambridge Corn Exchange,
25 June 1990,"On this day in 1990 Mike saw Lush supported by Easy, The Bardots at Cambridge - The Junction",25,6,1990,Lush,Lush,"Easy, The Bardots",Cambridge - The Junction,
26 June 1991,On this day in 1991 Mike saw Siouxie & the Banshees at Cambridge Corn Exchange,26,6,1991,Siouxie & the Banshees,Siouxie & the Banshees,,Cambridge Corn Exchange,
26 June 1992,"On this day in 1992 Mike saw Back to the Planet, Blue Aeroplanes, Breeders, Carter the Unstoppable Sex Machine, Fishbone, James, Kirsty MacColl, Moonflowers, Primal Scream, Rob Newman, Senseless Things, Television, at Glastonbury Festival, Glastonbury Worthy Farm",26,6,1992,Glastonbury Festival,,"Back to the Planet, Blue Aeroplanes, Breeders, Carter the Unstoppable Sex Machine, Fishbone, James, Kirsty MacColl, Moonflowers, Primal Scream, Rob Newman, Senseless Things, Television",Glastonbury Worthy Farm,
26 June 1995,On this day in 1995 Mike saw Rugs at Cambridge Boat Race,26,6,1995,Rugs,The Rugs,,Cambridge Boat Race,
27 June 1992,"On this day in 1992 Mike saw Catherine Wheel, Cud, Curve, Fall, House of Love, Joan Armatrading, Joolz, Levellers, Lou Reed, Midway Still, Ocean Colour Scene, RDF, Shakespeare's Sister, Th' Faith Healers, Thousand Yard Stare, at Glastonbury Festival, Glastonbury Worthy Farm",27,6,1992,Glastonbury Festival,,"Catherine Wheel, Cud, Curve, Fall, House of Love, Joan Armatrading, Joolz, Levellers, Lou Reed, Midway Still, Ocean Colour Scene, RDF, Shakespeare's Sister, Th' Faith Healers, Thousand Yard Stare",Glastonbury Worthy Farm,
28 June 1992,"On this day in 1992 Mike saw Billy Bragg, Blur, Family Cat, Frank & Walters, Jonathan Richman, Joolz and Slade the Leveller, Kitchens of Distinction, PJ Harvey, Tom Jones, Van Morrison, at Glastonbury Festival, Glastonbury Worthy Farm",28,6,1992,Glastonbury Festival,,"Billy Bragg, Blur, Family Cat, Frank & Walters, Jonathan Richman, Joolz and Slade the Leveller, Kitchens of Distinction, PJ Harvey, Tom Jones, Van Morrison",Glastonbury Worthy Farm,
28 June 2011,On this day in 2011 Mike saw Morrissey supported by Flats at Grimsby Auditorium,28,6,2011,Morrissey,Morrissey,Flats,Grimsby Auditorium,
29 June 1990,"On this day in 1990 Mike saw Telescopes supported by Edsel Auctioneer, Bark Psychosis at Manchester International 2",29,6,1990,Telescopes,The Telescopes,"Edsel Auctioneer, Bark Psychosis",Manchester International 2,
3 July 1992,On this day in 1992 Mike saw Thousand Yard Stare supported by Kite at London Marquee Club,3,7,1992,Thousand Yard Stare,Thousand Yard Stare,Kite,London Marquee Club,
3 July 1995,On this day in 1995 Mike saw Menswear at Cambridge - The Junction,3,7,1995,Menswear,Menswear,,Cambridge - The Junction,
3 July 2014,On this day in 2014 Mike saw Peter Hook & the Light at Nottingham Rescue Rooms,3,7,2014,Peter Hook & the Light,Peter Hook & the Light,,Nottingham Rescue Rooms,
5 July 2014,"On this day in 2014 Mike saw Libertines, Maximo Park, Pogues, Spiritualized, at British Summer Time Festival, London Hyde Park",5,7,2014,British Summer Time Festival,The Libertines,"Libertines, Maximo Park, Pogues, Spiritualized",London Hyde Park,
6 July 1994,On this day in 1994 Mike saw Pagan Billy at Ely Royal Standard,6,7,1994,Pagan Billy,Pagan Billy,,Ely Royal Standard,
6 July 2009,On this day in 2009 Mike saw That Petrol Emotion at Nottingham Rescue Rooms,6,7,2009,That Petrol Emotion,That Petrol Emotion,,Nottingham Rescue Rooms,
7 July 2018,"On this day in 2018 Mike saw Cure, Editors, Goldfrapp, Interpol, Ride, Slowdive, Twilight Sad, at British Summer Time Festival, London Hyde Park",7,7,2018,British Summer Time Festival,The Cure,"Cure, Editors, Goldfrapp, Interpol, Ride, Slowdive, Twilight Sad",London Hyde Park,
9 July 2008,On this day in 2008 Mike saw Interpol supported by Ladytron at Sheffield Carling Academy ,9,7,2008,Interpol,Interpol,Ladytron,Sheffield Carling Academy ,
10 July 1991,"On this day in 1991 Mike saw Chapterhouse supported by Slowdive, Thousand Yard Stare, Spitfire at London Town & Country Club",10,7,1991,Chapterhouse,Chapterhouse,"Slowdive, Thousand Yard Stare, Spitfire",London Town & Country Club,
11 July 1986,"On this day in 1986 Mike saw Queen supported by Status Quo, The Alarm, INXS at Wembley Stadium",11,7,1986,Queen,Queen,"Status Quo, The Alarm, INXS",Wembley Stadium,
12 July 1989,On this day in 1989 Mike saw Fall at Cambridge Corn Exchange,12,7,1989,Fall,The Fall,,Cambridge Corn Exchange,
12 July 1994,On this day in 1994 Mike saw Swervedriver at Cambridge Boat Race,12,7,1994,Swervedriver,Swervedriver,,Cambridge Boat Race,
13 July 1990,"On this day in 1990 Mike saw Carter the Unstoppable Sex Machine supported by Bob, Beef at London Astoria",13,7,1990,Carter the Unstoppable Sex Machine,Carter the Unstoppable Sex Machine,"Bob, Beef",London Astoria,
13 July 2007,On this day in 2007 Mike saw Victorian English Gentlemens Club supported by Lupen Crook at Leicester Sumo,13,7,2007,Victorian English Gentlemens Club,The Victorian English Gentlemens Club,Lupen Crook,Leicester Sumo,
14 July 1990,"On this day in 1990 Mike saw Fury Things supported by Spitfire, Ran at Camden Falcon",14,7,1990,Fury Things,Fury Things,"Spitfire, Ran",Camden Falcon,
